cui,type,name
C0002345,genf,Alternative Splicing
C0004390,genf,Autonomous Replication
C0010366,genf,"Crossing Over, Genetic"
C0012899,genf,DNA Repair
C0013458,genf,Early Gene Transcription
C0015219,genf,Biological Evolution
C0017255,genf,Gene Activation
C0017256,genf,Gene Amplification
C0017259,genf,Gene Conversion
C0017260,genf,Gene Deletion
C0017261,genf,Gene Duplication
C0017262,genf,Gene Expression
C0017263,genf,Gene Expression Regulation
C0017269,genf,"Gene Expression Regulation, Viral"
C0017287,genf,Gene Rearrangement
C0017393,genf,Genetic Markers
C0020202,genf,Crossbreeding
C0023099,genf,Late Gene Transcription
C0026882,genf,Mutation
C0032219,genf,Pleomorphism
C0032529,genf,Genetic Polymorphism
C0034865,genf,"Recombination, Genetic"
C0035380,genf,Reverse Transcription
C0035687,genf,RNA Splicing
C0036576,genf,Genetic Selection
C0037211,genf,Sister Chromatid Exchange
C0037703,genf,SOS Response (Genetics)
C0038855,genf,"Suppression, Genetic"
C0038859,genf,Suppressor Mutation
C0040624,genf,"Trans-Activation, Genetic"
C0040649,genf,"Transcription, Genetic"
C0040667,genf,"Transduction, Genetic"
C0040669,genf,Transfection
C0040684,genf,"Transformation, Genetic"
C0079868,genf,"Mutagenesis, Insertional"
C0079870,genf,"Mutagenesis, Site-Directed"
C0086934,genf,"RNA, Messenger, Splicing"
C0162493,genf,Transcriptional Activation
C0162735,genf,Point Mutation
C0162759,genf,Prenylation
C0162765,genf,Isoprenylation
C0162766,genf,Protein Prenylation
C0162782,genf,RNA Editing
C0175967,genf,Chromosome replication
C0178654,genf,gene complementation
C0206071,genf,Immunoglobulin Class Switching
C0206530,genf,Germ-Line Mutation
C0242614,genf,Genomic Imprinting
C0282572,genf,"Frameshifting, Ribosomal"
C0282629,genf,Virus Assembly
C0282630,genf,"Packaging, Virus"
C0301618,genf,Genotypic expression
C0314611,genf,Gene type
C0314619,genf,IGL gene
C0314620,genf,Non structural gene
C0314621,genf,Operator gene
C0314622,genf,Immune suppressor gene
C0314627,genf,Gene function
C0314632,genf,Multiple alleles
C0314633,genf,Allelic exclusion
C0314641,genf,Genetic transfection
C0314644,genf,Homology region
C0314648,genf,Allotype
C0376437,genf,Protein Splicing
C0376452,genf,DNA Methylation
C0524550,genf,Nucleotide Excision Repair
C0525038,genf,Amino Acid Substitution
C0596609,genf,Gene-Environment Interaction
C0596610,genf,gene interaction
C0596611,genf,Gene Mutation
C0597360,genf,receptor expression
C0597415,genf,RNA methylation
C0597600,genf,Transcription Termination
C0598174,genf,chromosome loss
C0598175,genf,Chromosome Segregation
C0598312,genf,DNA Replication
C0598314,genf,replicator
C0598494,genf,derepression
C0598495,genf,genetic silencer
C0598496,genf,Gene Silencing
C0598508,genf,genetic promoter sequence
C0598510,genf,gene terminator
C0599155,genf,Missense Mutation
C0599176,genf,7-methylguanosine mRNA capping
C0599177,genf,protein activation
C0599283,genf,receptor density
C0599555,genf,genetic activator
C0599559,genf,genetic inhibitor
C0599773,genf,Homologous Recombination
C0599945,genf,antitermination
C0599946,genf,Attenuation
C0678713,genf,DNA template
C0678935,genf,RNA translation
C0678936,genf,gene recombination
C0678939,genf,spontaneous mutation
C0678940,genf,induced genetic mutation
C0678945,genf,polygene
C0678951,genf,gene polymorphism
C0678952,genf,Selective Breeding
C0678953,genf,hereditary factors
C0683142,genf,DNA metabolic process
C0683143,genf,RNA metabolic process
C0683227,genf,dna genetics
C0683228,genf,gene assortment
C0683230,genf,dna amplification
